Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code source,Source,Unité,Valeur,Symbole,Description du Symbole,Note
"GT","Totaux des émissions","004","Afghanistan","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","53.5748","E","Valeur estimée",""
"GT","Totaux des émissions","710","Afrique du Sud","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","1068.3056","E","Valeur estimée",""
"GT","Totaux des émissions","008","Albanie","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","83.0238","E","Valeur estimée",""
"GT","Totaux des émissions","012","Algérie","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","2421.9485","E","Valeur estimée",""
"GT","Totaux des émissions","276","Allemagne","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","21383.1042","E","Valeur estimée",""
"GT","Totaux des émissions","024","Angola","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","135.6071","E","Valeur estimée",""
"GT","Totaux des émissions","660","Anguilla","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","4.0098","E","Valeur estimée",""
"GT","Totaux des émissions","028","Antigua-et-Barbuda","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","13.9921","E","Valeur estimée",""
"GT","Totaux des émissions","682","Arabie saoudite","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","11927.3629","E","Valeur estimée",""
"GT","Totaux des émissions","032","Argentine","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","3795.165","E","Valeur estimée",""
"GT","Totaux des émissions","051","Arménie","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","149.4325","E","Valeur estimée",""
"GT","Totaux des émissions","533","Aruba","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","26.1336","E","Valeur estimée",""
"GT","Totaux des émissions","036","Australie","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","8686.837","E","Valeur estimée",""
"GT","Totaux des émissions","040","Autriche","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","1266.2986","E","Valeur estimée",""
"GT","Totaux des émissions","031","Azerbaïdjan","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","708.5687","E","Valeur estimée",""
"GT","Totaux des émissions","044","Bahamas","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","55.2394","E","Valeur estimée",""
"GT","Totaux des émissions","048","Bahreïn","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","698.2389","E","Valeur estimée",""
"GT","Totaux des émissions","050","Bangladesh","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","647.4989","E","Valeur estimée",""
"GT","Totaux des émissions","052","Barbade","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","30.8443","E","Valeur estimée",""
"GT","Totaux des émissions","112","Bélarus","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","2240.9027","E","Valeur estimée",""
"GT","Totaux des émissions","056","Belgique","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","3969.0061","E","Valeur estimée",""
"GT","Totaux des émissions","084","Belize","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","18.961","E","Valeur estimée",""
"GT","Totaux des émissions","204","Bénin","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","18.3478","E","Valeur estimée",""
"GT","Totaux des émissions","064","Bhoutan","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","7.3871","E","Valeur estimée",""
"GT","Totaux des émissions","068","Bolivie (État plurinational de)","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","392.0506","E","Valeur estimée",""
"GT","Totaux des émissions","070","Bosnie-Herzégovine","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","345.4656","E","Valeur estimée",""
"GT","Totaux des émissions","072","Botswana","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","144.2911","E","Valeur estimée",""
"GT","Totaux des émissions","076","Brésil","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","6542.1502","E","Valeur estimée",""
"GT","Totaux des émissions","096","Brunéi Darussalam","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","201.7735","E","Valeur estimée",""
"GT","Totaux des émissions","100","Bulgarie","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","981.6115","E","Valeur estimée",""
"GT","Totaux des émissions","854","Burkina Faso","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","108.0331","E","Valeur estimée",""
"GT","Totaux des émissions","108","Burundi","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","10.3087","E","Valeur estimée",""
"GT","Totaux des émissions","132","Cabo Verde","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","16.3464","E","Valeur estimée",""
"GT","Totaux des émissions","116","Cambodge","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","228.5042","E","Valeur estimée",""
"GT","Totaux des émissions","120","Cameroun","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","35.4914","E","Valeur estimée",""
"GT","Totaux des émissions","124","Canada","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","3341.7406","E","Valeur estimée",""
"GT","Totaux des émissions","152","Chili","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","675.8908","E","Valeur estimée",""
"GT","Totaux des émissions","159","Chine","7273","Émissions (CO2)","6507","Transformation des aliments","2017","2017","3050","FAO TIER 1","kilotonnes","7373.2757","E","Valeur estimée",""
