Zone_x,Code zone,pop_2017,TCAM,prixpoulet,indexpolitic,Disponibilité alimentaire (Kcal/personne/jour),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib,Investment,Pib_hab17
Afghanistan,2,36296113.0,2.180892823260838,2944.1999999999994,-2.7,5.0,5.333333333333333,29.0,55.0,-1.1856494850595034,51.533897,520.6164092832751
Afrique du Sud,202,57009756.0,1.1636826225025931,2015.1,-0.22,143.0,63.0,514.0,2035.0,0.9764327091921654,2008.360978,6121.8765721782775
Albanie,3,2884169.0,-0.0938470541681724,2469.7,0.36,85.0,0.0,38.0,47.0,2.7588007259284453,1016.561053,4514.204908242201
Algérie,4,41389189.0,1.6431548229275617,2180.7,-0.99,22.0,0.0,2.0,264.0,-3.881310587909237,1232.341924,4109.696001460671
Allemagne,79,82658409.0,0.4077193535301227,1204.25,0.64,71.0,646.0,842.0,1609.0,0.47624150306946333,33261.034105,44651.82910208204
Angola,7,29816766.0,2.7194026857656706,1409.0,-0.39,35.0,0.0,277.0,315.0,-7.003129374705219,-7397.3,4095.811686217077
Antigua-et-Barbuda,8,95426.0,0.7920046737775133,3648.5,0.87,233.0,0.0,7.0,5.0,5.143549169479833,151.271628,15383.415190828495
Arabie saoudite,194,33101178.999999996,1.7407058328478442,2850.1666666666665,-0.59,151.0,10.0,722.0,1435.0,0.7853853546100131,1418.843614,20802.464299322997
Argentine,9,43937140.0,0.7957429515383474,1120.0,0.1,182.0,207.0,8.0,1856.0,-1.8073306104496867,11516.861462,14648.845969287031
Arménie,1,2944791.0,0.26867923994626786,2291.5,-0.49,54.0,0.0,35.0,47.0,1.4206640261631875,-104.174834,3914.52524576447
Australie,10,24584620.0,1.0797559135797608,1408.5333333333335,0.96,192.0,42.0,16.0,1171.0,-0.07511506503642407,46114.227904,57628.86384865823
Autriche,11,8819901.0,0.6330645918403599,1783.8000000000002,1.0,65.0,78.0,110.0,160.0,0.5890437814375593,14953.513855,47309.0516373143
Azerbaïdjan,52,9845320.0,0.9170312892865073,1783.6,-0.75,44.0,0.0,27.0,129.0,-8.937884033349663,2867.0,4150.868844080233
Bahamas,12,381755.0,0.7968411703223044,2039.3111111111111,0.94,182.0,6.666666666666667,24.0,16.0,2.8722994346200847,901.448,32376.129779570667
Bangladesh,16,159685424.0,0.8724808857308641,2085.5333333333333,-1.18,7.0,6.666666666666667,0.0,240.0,9.272969821839094,2151.64,1538.2336269026032
Barbade,14,286232.0,0.1271226160144856,2455.3333333333335,1.0,199.0,0.0,2.0,13.0,1.7539265405643878,206.157363,17419.313703569132
Belgique,255,11419748.0,0.4608282681987319,971.7,0.46,44.0,656.0,338.0,144.0,0.31948086027386857,-708.306504,44025.90324725204
Belize,23,375769.0,1.6274206183643392,2559.1666666666665,0.04,110.0,0.0,0.0,10.0,2.399988669855979,24.494687,4909.6830552813035
Bolivie (État plurinational de),19,11192855.0,1.1797429616333899,1581.0999999999997,-0.27,155.0,1.0,1.0,403.0,4.073851924135696,1209.2,3351.1273993989917
Bosnie-Herzégovine,80,3351525.0,-0.9255042479618392,967.5,-0.39,56.0,8.0,10.0,56.0,1.6928571356256583,491.888017,5394.741460976719
