Pays,TCAM,indexpolitic,Disponibilité alimentaire en quantité (kg/personne/an),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib
Afghanistan,2.180892823260838,-2.7,1.53,0.3333333333333333,29.0,55.0,-1.1856494850595034
Afrique du Sud,1.1636826225025931,-0.22,35.69,63.0,514.0,2035.0,0.9764327091921654
Albanie,-0.0938470541681724,0.36,16.36,0.0,38.0,47.0,2.7588007259284453
Algérie,1.6431548229275617,-0.99,6.38,0.0,2.0,264.0,-3.881310587909237
Allemagne,0.4077193535301227,0.64,19.47,646.0,842.0,1609.0,0.4762415030694633
Angola,2.7194026857656706,-0.39,10.56,0.0,277.0,315.0,-7.003129374705219
Antigua-et-Barbuda,0.7920046737775133,0.87,54.1,0.0,7.0,5.0,5.143549169479833
Arabie saoudite,1.7407058328478442,-0.59,43.36,10.0,722.0,1435.0,0.7853853546100131
Argentine,0.7957429515383474,0.1,42.24,207.0,8.0,1856.0,-1.807330610449687
Arménie,0.2686792399462678,-0.49,16.06,0.0,35.0,47.0,1.4206640261631875
Australie,1.0797559135797608,0.96,47.65,42.0,16.0,1171.0,-0.075115065036424
Autriche,0.6330645918403599,1.0,18.2,78.0,110.0,160.0,0.5890437814375593
Azerbaïdjan,0.9170312892865072,-0.75,13.11,0.0,27.0,129.0,-8.937884033349663
Bahamas,0.7968411703223044,0.94,43.17,0.0,24.0,16.0,2.8722994346200847
Bangladesh,0.8724808857308641,-1.18,1.5,3.333333333333333,0.0,240.0,9.272969821839094
Barbade,0.1271226160144856,1.0,46.78,0.0,2.0,13.0,1.7539265405643878
Belgique,0.4608282681987319,0.46,12.65,656.0,338.0,144.0,0.3194808602738685
Belize,1.6274206183643392,0.04,25.69,0.0,0.0,10.0,2.399988669855979
Bolivie (État plurinational de),1.17974296163339,-0.27,36.0,1.0,1.0,403.0,4.073851924135696
Bosnie-Herzégovine,-0.9255042479618392,-0.39,16.7,8.0,10.0,56.0,1.6928571356256583
Botswana,1.536362148059256,1.01,3.39,0.0,3.0,7.0,2.807066859844065
Brésil,0.6528386639790051,-0.4,48.03,4223.0,3.0,9982.0,-4.835669071979631
Bulgarie,-0.5414301709766423,0.22,22.06,45.0,108.0,157.0,3.058245277960792
Burkina Faso,2.3496366374021083,-0.87,2.27,0.0,0.0,44.0,2.894673923014724
Bélarus,0.0442411312584711,0.14,27.98,152.0,21.0,264.0,-5.298787390260207
Bénin,2.2280559320587034,-0.03,14.4,0.0,123.0,161.0,3.266616114200094
Cabo Verde,0.9650786333798678,0.85,17.62,0.0,12.0,9.0,1.1402144927164182
Cambodge,1.245596550958905,0.12,2.34,0.0,10.0,37.0,7.929505181317897
Cameroun,2.141082538642003,-1.14,3.16,0.0,0.0,78.0,2.060376378288331
Canada,0.7786125075611494,1.15,39.02,163.0,182.0,1433.0,-0.922053089135455
Chili,1.0695097336422157,0.42,36.36,115.0,155.0,672.0,2.693485937344686
Chine - RAS de Hong-Kong,0.6558697690946413,0.85,53.51,663.0,907.0,391.0,4.412351990618468
Chine - RAS de Macao,1.366011061166872,1.32,34.47,0.0,23.0,21.0,0.1451312649894509
"Chine, Taiwan Province de",0.1988367191289253,0.89,33.17,8.0,161.0,785.0,0.3672845212675299
"Chine, continentale",0.3997177387665918,0.2066666666666666,12.33,576.0,452.0,17518.0,5.812054495667463
Chypre,0.6337707159221218,0.54,25.08,1.0,14.0,30.0,1.993103763777082
Colombie,1.1214584654883677,-0.88,31.99,2.0,78.0,1565.0,-2.592975727672941
Congo,2.0559302769812327,-0.48,21.53,0.0,104.0,110.0,-5.534226391599351
Costa Rica,0.8368787190155436,0.6,26.52,3.0,17.0,131.0,3.685879824158112
Croatie,-0.470182482130399,0.68,10.77,17.0,24.0,45.0,1.3085436251239813
Cuba,0.0551796562511697,0.66,23.72,33.333333333333336,312.0,269.0,4.40374628137945
Côte d'Ivoire,2.0524509910925026,-0.93,2.53,0.0,7.0,62.0,4.634349587136688
Danemark,0.3085663948520833,0.9,28.98,139.0,133.0,166.0,0.2170531169735756
Djibouti,1.3057933566395177,-0.49,2.68,0.0,3.0,3.0,5.695070192559015
Dominique,0.1514712208872559,1.1,35.19,0.0,4.0,3.0,1.2948452250017617
El Salvador,0.3959479998725923,-0.19,20.43,2.0,16.0,131.0,2.8650192582575285
Espagne,-0.0363970596455431,0.31,30.39,212.0,205.0,1418.0,0.7424401819083437
Estonie,0.1007330536232808,0.63,21.26,11.0,21.0,28.0,2.768050565543745
Eswatini,0.7425218056636096,-0.4,6.46,0.0,2.0,7.0,1.0747828362926093
Fidji,0.3900423617994475,0.74,28.02,0.0,3.0,25.0,2.819064498669377
Finlande,0.222992996810234,1.01,18.76,12.0,16.0,103.0,0.088576567952292
France,0.2470754548526965,0.08,22.9,501.0,506.0,1485.0,-0.4329424378980873
Fédération de Russie,0.1473820487721377,-0.79,30.98,115.0,226.0,4509.0,-4.249680471217232
Gabon,2.3836255539609663,-0.11,29.33,0.0,76.0,61.0,-1.487330487810401
Gambie,2.411009306571588,-0.14,3.53,0.0,16.0,8.0,6.325145613939509
Ghana,1.8017901056747387,-0.02,7.24,0.0,151.0,211.0,4.217246187682044
Grenade,0.464345849125003,0.95,45.7,0.0,7.0,5.0,5.057495089963915
Grèce,-0.3371927113070549,-0.06,15.32,29.0,79.0,162.0,-2.0464229103861142
Guatemala,1.6109991646855448,-0.6,20.58,7.0,129.0,348.0,4.821147264296433
Guinée,2.169619340713336,-0.59,4.08,0.0,37.0,49.0,6.196788784848439
Guinée-Bissau,2.062325089467887,-0.54,2.16,0.0,4.0,4.0,5.5849858347818415
