Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","2","Afghanistan","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","51.533897","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","3","Albania","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1016.561053","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","4","Algeria","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1232.341924","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","7","Angola","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-7397.3","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","258","Anguilla","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","97.167478","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","8","Antigua and Barbuda","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","151.271628","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","9","Argentina","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","11516.861462","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","1","Armenia","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-104.174834","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","22","Aruba","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","87.862279","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","10","Australia","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","46114.227904","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","11","Austria","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","14953.513855","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","52","Azerbaijan","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","2867","X","Figure from international organizations","Data source: UNCTAD"
