Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","004","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","2058.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","13860.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","12771","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","11737.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","53071.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","7310.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","19840.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","47306.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","032","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","23597.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","051","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","12115.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","036","Australie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","48398.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","040","Autriche","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","54173","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","14121.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","35911.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","47709.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","4894.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","052","Barbade","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","15800.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","18356.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","056","Belgique","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","50442.3","X","Ciffre de sources internationales",""
